run_id;gap buse (µm);shift buse (µm);Viscosite eta0 (Pa.s);ratio surface goutte/puit;CA substrat (deg);CA mur droit (deg);CA mur gauche (deg);nom fichier gif
135;120;-75;1.5;0.8;15;15;15;run_135_y_gap_buse0.12_x_gap_buse-0.075_eta01.5_ratio_surface0.8.gif
136;120;-75;1.5;1.2;15;15;15;run_136_y_gap_buse0.12_x_gap_buse-0.075_eta01.5_ratio_surface1.2.gif
137;120;-75;5.0;0.8;15;15;15;run_137_y_gap_buse0.12_x_gap_buse-0.075_eta05_ratio_surface0.8.gif
138;120;-75;5.0;1.2;15;15;15;run_138_y_gap_buse0.12_x_gap_buse-0.075_eta05_ratio_surface1.2.gif
139;120;-150;0.5;0.8;15;15;15;run_139_y_gap_buse0.12_x_gap_buse-0.15_eta00.5_ratio_surface0.8.gif
140;120;-150;0.5;1.2;15;15;15;run_140_y_gap_buse0.12_x_gap_buse-0.15_eta00.5_ratio_surface1.2.gif
141;120;-150;1.5;0.8;15;15;15;run_141_y_gap_buse0.12_x_gap_buse-0.15_eta01.5_ratio_surface0.8.gif
142;120;-150;1.5;1.2;15;15;15;run_142_y_gap_buse0.12_x_gap_buse-0.15_eta01.5_ratio_surface1.2.gif
143;120;-150;5.0;0.8;15;15;15;run_143_y_gap_buse0.12_x_gap_buse-0.15_eta05_ratio_surface0.8.gif
144;120;-150;5.0;1.2;15;15;15;run_144_y_gap_buse0.12_x_gap_buse-0.15_eta05_ratio_surface1.2.gif
