nom fichier gif;ratio surface goutte/puit;CA substrat (deg);CA mur gauche (deg);CA mur droit (deg);CA plateau gauche (deg);Viscosite eta0 (Pa.s);shift X (um)
lbm_337.gif;1,1999;35;15;35;35;0,5;0
lbm_338.gif;1,1999;35;15;35;35;0,5;-75
lbm_339.gif;1,1999;35;15;35;35;1,5;0
lbm_340.gif;1,1999;35;15;35;35;1,5;-75
lbm_341.gif;1,1999;35;15;90;35;0,5;0
lbm_342.gif;1,1999;35;15;90;35;0,5;-75
lbm_343.gif;1,1999;35;15;90;35;1,5;0
lbm_344.gif;1,1999;35;15;90;35;1,5;-75
lbm_345.gif;1,1999;60;15;35;35;0,5;0
lbm_346.gif;1,1999;60;15;35;35;0,5;-75
lbm_347.gif;1,1999;60;15;35;35;1,5;0
lbm_348.gif;1,1999;60;15;35;35;1,5;-75
lbm_349.gif;1,1999;60;15;90;35;0,5;0
lbm_350.gif;1,1999;60;15;90;35;0,5;-75
lbm_351.gif;1,1999;60;15;90;35;1,5;0
lbm_352.gif;1,1999;60;15;90;35;1,5;-75
lbm_353.gif;1,1999;35;35;35;35;0,5;0
lbm_354.gif;1,1999;35;35;35;35;0,5;-75
lbm_355.gif;1,1999;35;35;35;35;1,5;0
lbm_356.gif;1,1999;35;35;35;35;1,5;-75
lbm_357.gif;1,1999;35;35;90;35;0,5;0
lbm_358.gif;1,1999;35;35;90;35;0,5;-75
lbm_359.gif;1,1999;35;35;90;35;1,5;0
lbm_360.gif;1,1999;35;35;90;35;1,5;-75
lbm_361.gif;1,1999;60;35;35;35;0,5;0
lbm_362.gif;1,1999;60;35;35;35;0,5;-75
lbm_363.gif;1,1999;60;35;35;35;1,5;0
lbm_364.gif;1,1999;60;35;35;35;1,5;-75
lbm_365.gif;1,1999;60;35;90;35;0,5;0
lbm_366.gif;1,1999;60;35;90;35;0,5;-75
lbm_367.gif;1,1999;60;35;90;35;1,5;0
lbm_368.gif;1,1999;60;35;90;35;1,5;-75
lbm_369.gif;1,1999;35;90;35;35;0,5;0
lbm_370.gif;1,1999;35;90;35;35;0,5;-75
lbm_371.gif;1,1999;35;90;35;35;1,5;0
lbm_372.gif;1,1999;35;90;35;35;1,5;-75
lbm_373.gif;1,1999;35;90;90;35;0,5;0
lbm_374.gif;1,1999;35;90;90;35;0,5;-75
lbm_375.gif;1,1999;35;90;90;35;1,5;0
lbm_376.gif;1,1999;35;90;90;35;1,5;-75
lbm_377.gif;1,1999;60;90;35;35;0,5;0
lbm_378.gif;1,1999;60;90;35;35;0,5;-75
lbm_379.gif;1,1999;60;90;35;35;1,5;0
lbm_380.gif;1,1999;60;90;35;35;1,5;-75
lbm_381.gif;1,1999;60;90;90;35;0,5;0
lbm_382.gif;1,1999;60;90;90;35;0,5;-75
lbm_383.gif;1,1999;60;90;90;35;1,5;0
lbm_384.gif;1,1999;60;90;90;35;1,5;-75
lbm_385.gif;1,1999;35;15;35;90;0,5;0
lbm_386.gif;1,1999;35;15;35;90;0,5;-75
lbm_387.gif;1,1999;35;15;35;90;1,5;0
lbm_388.gif;1,1999;35;15;35;90;1,5;-75
lbm_389.gif;1,1999;35;15;90;90;0,5;0
lbm_390.gif;1,1999;35;15;90;90;0,5;-75
lbm_391.gif;1,1999;35;15;90;90;1,5;0
lbm_392.gif;1,1999;35;15;90;90;1,5;-75
lbm_393.gif;1,1999;60;15;35;90;0,5;0
lbm_394.gif;1,1999;60;15;35;90;0,5;-75
lbm_395.gif;1,1999;60;15;35;90;1,5;0
lbm_396.gif;1,1999;60;15;35;90;1,5;-75
lbm_397.gif;1,1999;60;15;90;90;0,5;0
lbm_398.gif;1,1999;60;15;90;90;0,5;-75
lbm_399.gif;1,1999;60;15;90;90;1,5;0
lbm_400.gif;1,1999;60;15;90;90;1,5;-75
lbm_401.gif;1,1999;35;35;35;90;0,5;0
lbm_402.gif;1,1999;35;35;35;90;0,5;-75
lbm_403.gif;1,1999;35;35;35;90;1,5;0
lbm_404.gif;1,1999;35;35;35;90;1,5;-75
lbm_405.gif;1,1999;35;35;90;90;0,5;0
lbm_406.gif;1,1999;35;35;90;90;0,5;-75
lbm_407.gif;1,1999;35;35;90;90;1,5;0
lbm_408.gif;1,1999;35;35;90;90;1,5;-75
lbm_409.gif;1,1999;60;35;35;90;0,5;0
lbm_410.gif;1,1999;60;35;35;90;0,5;-75
lbm_411.gif;1,1999;60;35;35;90;1,5;0
lbm_412.gif;1,1999;60;35;35;90;1,5;-75
lbm_413.gif;1,1999;60;35;90;90;0,5;0
lbm_414.gif;1,1999;60;35;90;90;0,5;-75
lbm_415.gif;1,1999;60;35;90;90;1,5;0
lbm_416.gif;1,1999;60;35;90;90;1,5;-75
lbm_417.gif;1,1999;35;90;35;90;0,5;0
lbm_418.gif;1,1999;35;90;35;90;0,5;-75
lbm_419.gif;1,1999;35;90;35;90;1,5;0
lbm_420.gif;1,1999;35;90;35;90;1,5;-75
lbm_421.gif;1,1999;35;90;90;90;0,5;0
lbm_422.gif;1,1999;35;90;90;90;0,5;-75
lbm_423.gif;1,1999;35;90;90;90;1,5;0
lbm_424.gif;1,1999;35;90;90;90;1,5;-75
lbm_425.gif;1,1999;60;90;35;90;0,5;0
lbm_426.gif;1,1999;60;90;35;90;0,5;-75
lbm_427.gif;1,1999;60;90;35;90;1,5;0
lbm_428.gif;1,1999;60;90;35;90;1,5;-75
lbm_429.gif;1,1999;60;90;90;90;0,5;0
lbm_430.gif;1,1999;60;90;90;90;0,5;-75
lbm_431.gif;1,1999;60;90;90;90;1,5;0
lbm_432.gif;1,1999;60;90;90;90;1,5;-75
